"","x"
"1501","CX641936"
"1502","CX671361"
"1503","DN958126"
"1504","CX675578"
"1505","CV885792"
"1506","CX546256"
"1507","CX307360"
"1508","CX069625"
"1509","CV705370"
"1510","CX674052"
"1511","CN185436"
"1512","CF420113"
"1513","CX674656"
"1514","CX294790"
"1515","CF419499"
"1516","CV886243"
"1517","CX306566"
"1518","CV719908"
"1519","DN958997"
"1520","CX645080"
"1521","CX673247"
"1522","DN957745"
"1523","CX667462"
"1524","CV885182"
"1525","CX308231"
"1526","CX047422"
"1527","CB293345"
"1528","CB291922"
"1529","DN620554"
"1530","CN190713"
"1531","CF505340"
"1532","CK935749"
"1533","CX670867"
"1534","DN618256"
"1535","CX050368"
"1536","DN957879"
"1537","CX295776"
"1538","CK934277"
"1539","CX048184"
"1540","CD574382"
"1541","CF828555"
"1542","CX071890"
"1543","CN182354"
"1544","CX635739"
"1545","DR403408"
"1546","CK933877"
"1547","DN622254"
"1548","CX663415"
"1549","CN188140"
"1550","CK939558"
"1551","CX637130"
"1552","CX288730"
"1553",""
"1554","CX674836"
"1555","DN618883"
"1556","CK939042"
"1557","CX667931"
"1558","DT214690"
"1559","CF830210"
"1560","CB293131"
"1561","CF829675"
"1562","CF828176"
"1563","CV705943"
"1564","CK934455"
"1565","CO913318"
"1566","DN135279"
"1567","CK934531"
"1568","CB292268"
"1569","CX296967"
"1570","CX075337"
"1571","CD573772"
"1572","CX673869"
"1573","CV885111"
"1574","CX075812"
"1575","CX675096"
"1576","CB290246"
"1577","CV711922"
"1578","CF508941"
"1579","CX636822"
"1580","CF503963"
"1581","CX545813"
"1582","CD573819"
"1583","CK936461"
"1584","DN797904"
"1585","CX308819"
"1586","CK934137"
"1587","CX545403"
"1588","CK933773"
"1589","DT214495"
"1590","CF507643"
"1591","CX069473"
"1592","CX546380"
"1593","CF509198"
"1594","CV885971"
"1595","CV716439"
"1596","CV709159"
"1597","BQ625021"
"1598","BQ623770"
"1599","CX674105"
"1600","CN190780"
"1601","DR404328"
"1602","CN189377"
"1603","CX676237"
"1604","CX300300"
"1605","CK935812"
"1606","CX078494"
"1607","CB304450"
"1608","CF510003"
"1609","CF838917"
"1610","CV886590"
"1611","CD574940"
"1612","CB293794"
"1613","CK937022"
"1614","CX043415"
"1615","CX306727"
"1616","CK934546"
"1617","CD573747"
"1618","CF508927"
"1619","CN188187"
"1620","CK932677"
"1621","CX664720"
"1622","CV885522"
"1623","CK933883"
"1624","CV718841"
"1625","CV710224"
"1626","CK937360"
"1627","CX051659"
"1628","CV707395"
"1629","CX296138"
"1630","CX045663"
"1631","CK933520"
"1632","CX636470"
"1633","CV707480"
"1634","CV886734"
"1635","CB292707"
"1636","DR403695"
"1637","CX297728"
"1638","DN135266"
"1639","DN621961"
"1640","CD575166"
"1641","CN185809"
"1642","CX643093"
"1643","CK934824"
"1644","CK935816"
"1645","CV707821"
"1646",""
"1647","CX297088"
"1648","CF509928"
"1649","CX637983"
"1650","CX075317"
"1651","CX674274"
"1652","CX050539"
"1653","CX675277"
"1654","CF834088"
"1655","CK932682"
"1656","CX635745"
"1657","CV885021"
"1658","CX294838"
"1659","CN185526"
"1660","CB250363"
"1661","CO912474"
"1662","CX641216"
"1663","CV707184"
"1664","CX048448"
"1665","CX051127"
"1666","CX048104"
"1667","CV704933"
"1668","CD575697"
"1669","CX675264"
"1670","CF836032"
"1671","CF834506"
"1672","CX287948"
"1673","CF653546"
"1674","CX544830"
"1675","CX673921"
"1676","CV887212"
"1677","CV708320"
"1678","CX666009"
"1679","CV708594"
"1680","CX666992"
"1681","DN617766"
"1682","CK938725"
"1683","CX044880"
"1684","CX545553"
"1685","CK933255"
"1686","CX048216"
"1687","CV716840"
"1688","CX544392"
"1689","CF828767"
"1690","CK936994"
"1691","CX636014"
"1692","DT214453"
"1693","CF835436"
"1694","CK938984"
"1695","CX078494"
"1696","CF505929"
"1697","CX046796"
"1698","CX301748"
"1699","CX053734"
"1700","CX295397"
"1701",""
"1702","DN958708"
"1703","CV716372"
"1704","CX290993"
"1705","DN798977"
"1706","CX545793"
"1707","CF837828"
"1708","CF509803"
"1709","CK933713"
"1710","CX307058"
"1711","CK933075"
"1712","DN798868"
"1713","CN186933"
"1714","CN182037"
"1715","CK702083"
"1716","CX638029"
"1717","CB610613"
"1718","CX546170"
"1719","CK701751"
"1720","CV706990"
"1721","AU300857"
"1722","CV707322"
"1723","CV704560"
"1724","CF509827"
"1725","CV713449"
"1726","CX668635"
"1727",""
"1728","CX052195"
"1729","CV707790"
"1730","CX299896"
"1731","CX635871"
"1732","CV711237"
"1733","CF503941"
"1734","CD573807"
"1735","CV714121"
"1736","CF829923"
"1737","CX052548"
"1738","CF837449"
"1739","CV707616"
"1740","DR910250"
"1741","CV886157"
"1742","CV886948"
"1743","CX638082"
"1744","CX299583"
"1745","DN621359"
"1746","CF509566"
"1747","CX302915"
"1748","CB292717"
"1749","DN619918"
"1750","CX075920"
"1751","CV704212"
"1752","DN617543"
"1753","CX044921"
"1754","CN186331"
"1755","CX668444"
"1756","CK937382"
"1757","CX308547"
"1758","CV714234"
"1759","CF832093"
"1760","CX642708"
"1761","CK933714"
"1762","CN189577"
"1763","CX545216"
"1764","CV713296"
"1765","DN134988"
"1766","CV713384"
"1767","CF505637"
"1768","DN622355"
"1769","CX046888"
"1770","CV706405"
"1771","CX052927"
"1772","CN185608"
"1773","CX668345"
"1774","CK665394"
"1775","CD576550"
"1776",""
"1777","CX670430"
"1778","CX673225"
"1779","CX674473"
"1780","CV713191"
"1781","CX667446"
"1782","BQ624064"
"1783","CF830740"
"1784","CX295056"
"1785","CV886323"
"1786",""
"1787","CV707256"
"1788","CX045538"
"1789","CX639609"
"1790","CX050746"
"1791","CX289600"
"1792","CV713094"
"1793","CX072503"
"1794","CF829558"
"1795","CX674827"
"1796","CF418113"
"1797","CN183651"
"1798","CF836871"
"1799","DT214562"
"1800","CX306727"
"1801","DN620554"
"1802","CN185069"
"1803","CX671772"
"1804","CF507118"
"1805","CX048985"
"1806","CX671361"
"1807","DN795403"
"1808","CD575287"
"1809","CB293145"
"1810","CK932631"
"1811","CX665233"
"1812","CK932700"
"1813","CX043832"
"1814","CX665636"
"1815","CV716086"
"1816","CX044246"
"1817","CV718375"
"1818","CN188503"
"1819","CK934070"
"1820","CX072643"
"1821","CV885915"
"1822","CX673537"
"1823","CN183674"
"1824","CB610851"
"1825",""
"1826","CX289741"
"1827","CK936469"
"1828","DN797227"
"1829","CX676156"
"1830","CX664204"
"1831","DN135063"
"1832","CX543116"
"1833","CK939746"
"1834","CX287111"
"1835","CF833320"
"1836","CK940135"
"1837","CV707226"
"1838","CX291612"
"1839","CX046249"
"1840","CF828767"
"1841","CX049939"
"1842","CX300248"
"1843","CK932867"
"1844","CK702071"
"1845","C81740"
"1846","CX292437"
"1847","CX544878"
"1848","CV704184"
"1849","CK939027"
"1850","CX644949"
"1851","CK939832"
"1852","CV705963"
"1853","CB291253"
"1854","CK937534"
"1855","CB304611"
"1856","CX298968"
"1857","CF836304"
"1858","CN185980"
"1859","CV884311"
"1860","CX073963"
"1861","CX641590"
"1862","DN957978"
"1863","C95332"
"1864","CV705143"
"1865","CN187534"
"1866",""
"1867","CN188691"
"1868","CV713664"
"1869","CO913095"
"1870","CX301472"
"1871","CX296271"
"1872","CX667928"
"1873","CX642450"
"1874","CX069948"
"1875","CN186408"
"1876","DN619610"
"1877","CV887134"
"1878","CX306846"
"1879","DN959467"
"1880","DN623598"
"1881","CF507476"
"1882","CK702133"
"1883",""
"1884","CX303183"
"1885","CV706603"
"1886","CF830177"
"1887","CX666817"
"1888","DN623637"
"1889","DN620660"
"1890","CX663419"
"1891","CX306255"
"1892","CF506047"
"1893","CN185178"
"1894","CF418219"
"1895","CV718780"
"1896","CF417894"
"1897","DN958090"
"1898","CX642389"
"1899","CF508983"
"1900","DN617601"
"1901","CK939864"
"1902","CX300336"
"1903","CK935258"
"1904","CV719486"
"1905","CF837828"
"1906","CF417670"
"1907","DN799401"
"1908","CV705083"
"1909","CF507003"
"1910","CF832126"
"1911","CV719204"
"1912","CD575347"
"1913","CX071590"
"1914","CX302166"
"1915","CX297672"
"1916","CN184492"
"1917","CX664409"
"1918","BQ625012"
"1919","CX673711"
"1920","CF419441"
"1921","CX293755"
"1922","CK932673"
"1923","CX292243"
"1924","CK702175"
"1925","CX045537"
"1926","CX545521"
"1927","DN799093"
"1928","CN184985"
"1929","CV707717"
"1930","CV704704"
"1931","CK701760"
"1932","DN960036"
"1933","DN623171"
"1934","CF507893"
"1935","CV718651"
"1936","CX297159"
"1937","CX637923"
"1938","CX542870"
"1939","CF833250"
"1940","CV707243"
"1941","CX543019"
"1942","CX049651"
"1943","CX671207"
"1944","CB293472"
"1945","CK939360"
"1946","DN621051"
"1947","CV705318"
"1948","CV709443"
"1949","CB610613"
"1950","CN189326"
"1951","CF507340"
"1952","CX075626"
"1953","CX295992"
"1954","CF419823"
"1955","DN799085"
"1956","CF417706"
"1957","CK932866"
"1958","CX635301"
"1959","DN622962"
"1960","CV885006"
"1961","CX299263"
"1962","CB610830"
"1963","CX645116"
"1964","CX305130"
"1965","CV719462"
"1966","CF504520"
"1967","CF834805"
"1968","CX305205"
"1969","DN618548"
"1970","CX044234"
"1971",""
"1972","CF419319"
"1973","CF830025"
"1974","CX642269"
"1975","CX300872"
"1976","CV884387"
"1977","CF833225"
"1978","CX301313"
"1979","CV720036"
"1980","CO912915"
"1981","CF830617"
"1982","CX673292"
"1983","CX665326"
"1984","CK934874"
"1985","CF835408"
"1986","DN959533"
"1987","CX044812"
"1988","DN958472"
"1989","CV716125"
"1990","CX076062"
"1991","CX306207"
"1992","CV884382"
"1993","CX300942"
"1994","CV716397"
"1995","DN617664"
"1996","AU186383"
"1997","CX071926"
"1998","DN617361"
"1999","CF420640"
"2000","CV720157"
"2001","CX545612"
"2002","CV710464"
"2003","CX676493"
"2004","DN619191"
"2005","CK933059"
"2006","CX045769"
"2007","CV715947"
"2008","CX644966"
"2009","CF508983"
"2010","DN618333"
"2011","CX052335"
"2012","CX303369"
"2013","BQ624931"
"2014","CX675450"
"2015","CX051604"
"2016","CV719367"
"2017","CK938347"
"2018","CX049637"
"2019","CK935920"
"2020","CF829180"
"2021","CK702088"
"2022","CK935890"
"2023","CN182345"
"2024","CX302423"
"2025","CX297004"
"2026","CX635332"
"2027","CX074471"
"2028","CF835714"
"2029","CX667211"
"2030","BQ624340"
"2031","CF418649"
"2032","CN186013"
"2033","CV711050"
"2034","C24072"
"2035","CF832957"
"2036","CX672803"
"2037","CF418334"
"2038","CK936259"
"2039","DN624204"
"2040","CX045884"
"2041","CX047816"
"2042","CK936471"
"2043","CF418601"
"2044","CX301157"
"2045","CD575285"
"2046","CX288419"
"2047","CD574863"
"2048","CX048160"
"2049","CX077478"
"2050","CX295117"
"2051","CK934047"
"2052","CX043706"
"2053","DN622962"
"2054","DN621940"
"2055","DN618495"
"2056","CX544794"
"2057","CV708790"
"2058","CB304650"
"2059","BQ622992"
"2060","CF509084"
"2061","CV709000"
"2062","CX077719"
"2063","CX306574"
"2064","CX046236"
"2065","CF505427"
"2066","CF833167"
"2067","CB290484"
"2068","CF417094"
"2069","CX638788"
"2070","CX308548"
"2071","CV715486"
"2072","CX047859"
"2073","CF829575"
"2074","CK934029"
"2075","CX664210"
"2076","CX054025"
"2077","CX287539"
"2078","CX637104"
"2079","CN183144"
"2080","CX307074"
"2081","CX543268"
"2082","CV887374"
"2083","CX639315"
"2084","CF829792"
"2085","CX077158"
"2086","CV884772"
"2087","CV886926"
"2088","CV717365"
"2089","CV885826"
"2090","CV887243"
"2091","CX674125"
"2092","DN623447"
"2093","CF833023"
"2094","CD575234"
"2095","CV706955"
"2096","CX044492"
"2097","CK665416"
"2098","CN191883"
"2099","CB304789"
"2100","CB304715"
"2101","CF834198"
"2102","CF507919"
"2103","CX640417"
"2104","CD576666"
"2105","CX071464"
"2106","CB290891"
"2107","CX043919"
"2108","DN795503"
"2109","CX545559"
"2110","CF509328"
"2111","CX043416"
"2112","CV705024"
"2113","CN183805"
"2114","CX294239"
"2115","CF507179"
"2116","DN621219"
"2117","CF831720"
"2118","DT214432"
"2119","CX047847"
"2120","AY243478"
"2121","CF506674"
"2122","CV707390"
"2123","CK939930"
"2124","CX675375"
"2125","DN797833"
"2126","DN798337"
"2127","CX305057"
"2128","CX295189"
"2129","CX672418"
"2130","CX048060"
"2131","CX543666"
"2132","CK939504"
"2133","DN617543"
"2134","CN191024"
"2135","CF833342"
"2136","CX043460"
"2137","CK933060"
"2138","BG732220"
"2139","CF653219"
"2140","CX545548"
"2141","CV713082"
"2142","CF504800"
"2143","CN190619"
"2144","CX049246"
"2145","CX294833"
"2146","CV716840"
"2147","CX044673"
"2148","CX670490"
"2149","CX639219"
"2150","CX072763"
"2151","CK936871"
"2152","DN622748"
"2153","DN621041"
"2154","CX676163"
"2155","CV708259"
"2156","CX644235"
"2157","CX297390"
"2158","DN797224"
"2159","CX298140"
"2160","BQ623208"
"2161","CX299092"
"2162","CX636654"
"2163","CF508005"
"2164","DN798164"
"2165",""
"2166","CX291388"
"2167","DN623320"
"2168","CX545393"
"2169","CF509008"
"2170","CF835369"
"2171","CF505025"
"2172","CV710080"
"2173","CK933317"
"2174","CF836268"
"2175","AU300510"
"2176","CX663363"
"2177","CV712362"
"2178","CX306213"
"2179","CN184547"
"2180","CF830945"
"2181","CK936906"
"2182","CX673501"
"2183","CF417971"
"2184","CX673249"
"2185","DN135126"
"2186","CX542824"
"2187","DN799158"
"2188","CX044376"
"2189","CV710080"
"2190","CX076455"
"2191","CX672117"
"2192","BQ624083"
"2193","CV719324"
"2194","CN190354"
"2195","CK937873"
"2196","CK939964"
"2197","CV712366"
"2198","CN189035"
"2199","CX049823"
"2200","CX669369"
"2201","BQ622922"
"2202","CD575560"
"2203","CF836250"
"2204","CX071872"
"2205","CF507544"
"2206","CK937086"
"2207","CD576111"
"2208","CF832406"
"2209","CN184413"
"2210","CV715370"
"2211","CD575793"
"2212","CX043939"
"2213","CF417933"
"2214","CV705193"
"2215","CX639852"
"2216","CX673496"
"2217","CX290287"
"2218","CX299905"
"2219","CX665679"
"2220","CV716343"
"2221","CF509219"
"2222","CX074655"
"2223","CX045704"
"2224","CX666893"
"2225","CF832301"
"2226","CX674239"
"2227","CK934374"
"2228","CF835056"
"2229","CN184810"
"2230","CB290506"
"2231","CK935230"
"2232","CV886569"
"2233","CX670255"
"2234","DN624309"
"2235","CV716031"
"2236","CV885985"
"2237","CX635955"
"2238","CX543846"
"2239","DN623555"
"2240","CX301145"
"2241","CK936755"
"2242","CV704220"
"2243","CV718595"
"2244","BQ625056"
"2245","CX303046"
"2246","CK933024"
"2247","CX047679"
"2248","CV710418"
"2249","CF838305"
"2250","CK939930"
"2251","CB290914"
"2252","CK936763"
"2253","CF836450"
"2254","CX642208"
"2255","CX636119"
"2256","CX051300"
"2257","CX298570"
"2258","CN188179"
"2259","CX047870"
"2260","CN182122"
"2261","CK934631"
"2262","CX289772"
"2263","CX673385"
"2264","CF835872"
"2265","CV713153"
"2266","CF418630"
"2267","CV715230"
"2268","CK701667"
"2269","DN619489"
"2270","CD574722"
"2271","CX308819"
"2272","CN191223"
"2273","CB304967"
"2274","CF829417"
"2275","CF509880"
"2276","CK935381"
"2277","CD575402"
"2278","CV714734"
"2279","CX048758"
"2280","CB293605"
"2281","CX295788"
"2282","CV706562"
"2283","CB322123"
"2284","CK937548"
"2285","CF505885"
"2286","CF509304"
"2287","CV707788"
"2288","CX293477"
"2289","CX543903"
"2290","CV706328"
"2291","CX671908"
"2292","CX671890"
"2293","CB291147"
"2294","CV712404"
"2295","CX043279"
"2296","DN621872"
"2297","CX546637"
"2298","CX673870"
"2299","CX637685"
"2300","DN624488"
"2301","CV712198"
"2302","CV711610"
"2303","CK936931"
"2304","CX301048"
"2305","CX673327"
"2306","CX543646"
"2307","CX674182"
"2308","CD574889"
"2309","CK932753"
"2310","CK665187"
"2311","CK932957"
"2312","CX288537"
"2313","CX643853"
"2314","DN799289"
"2315","DN960239"
"2316","DN960285"
"2317","CN189551"
"2318","CF510123"
"2319",""
"2320","CX671119"
"2321","DN957958"
"2322","CK937882"
"2323","CX043625"
"2324","CF832896"
"2325","CX044081"
"2326","CX674026"
"2327","CX544479"
"2328","CF831203"
"2329","CV705580"
"2330",""
"2331","CF831734"
"2332","CB290863"
"2333",""
"2334","CV718167"
"2335","DN798977"
"2336","CV710365"
"2337","CV707133"
"2338","CV715257"
"2339","CX669388"
"2340","CN191130"
"2341","CX546213"
"2342","CX297022"
"2343","CV718939"
"2344","CK740123"
"2345","CV886253"
"2346","AJ489037"
"2347","CB292960"
"2348","DN623584"
"2349","CV716575"
"2350","DN798843"
"2351","CF417462"
"2352","CV719504"
"2353","CF831940"
"2354","CK933844"
"2355","CX671998"
"2356","CK665227"
"2357","CK934810"
"2358","CV704779"
"2359","CX543928"
"2360","CF836568"
"2361","CX641854"
"2362","DN958742"
"2363","CF833266"
"2364","AU300790"
"2365","CB610812"
"2366","CX542869"
"2367","CF837466"
"2368","CK937341"
"2369","CX642692"
"2370","CK938844"
"2371","CK936291"
"2372","CK934529"
"2373","CV887127"
"2374","CV711750"
"2375","CX546167"
"2376","CV707473"
"2377","CV714309"
"2378","CN182944"
"2379","CB291207"
"2380","CK939095"
"2381",""
"2382","CN189699"
"2383","CX293278"
"2384","DN623360"
"2385","CK932766"
"2386","CN186809"
"2387","CV704966"
"2388","CF419121"
"2389","CF836513"
"2390","CX303177"
"2391","CN191254"
"2392","CV715898"
"2393","CF653506"
"2394","CD574159"
"2395","CK934238"
"2396","CX075891"
"2397","CV887227"
"2398","CX049278"
"2399","CV708161"
"2400","CX643171"
"2401","CX663450"
"2402","CF829435"
"2403","DN623858"
"2404","CK739528"
"2405","CD575513"
"2406","CX545252"
"2407","CV718422"
"2408","CX072372"
"2409","CX045481"
"2410","DN957853"
"2411","CX668375"
"2412","CX290658"
"2413","CX044035"
"2414","CX667881"
"2415","DN799117"
"2416","CK935990"
"2417","CX674641"
"2418","DN621827"
"2419","CK936822"
"2420","CF837036"
"2421","CV714253"
"2422","CX287180"
"2423","CX298257"
"2424","CV719467"
"2425","CO913178"
"2426","DN959038"
"2427","DN621960"
"2428","CX666359"
"2429","CK939147"
"2430","CN186569"
"2431","DN621696"
"2432","DN618757"
"2433","CF833291"
"2434","CD575609"
"2435","CV706591"
"2436","CN191157"
"2437","CX545361"
"2438","CX672654"
"2439","AU186271"
"2440","CX308594"
"2441","CD575345"
"2442","CX048136"
"2443","CX664407"
"2444","CK933588"
"2445","CN189203"
"2446","CX292202"
"2447","DN622347"
"2448","CX668787"
"2449","CD574523"
"2450","CX290796"
"2451","CX076163"
"2452","CN191062"
"2453","CX670381"
"2454","DN799018"
"2455","CK933684"
"2456","CF830964"
"2457","CX305434"
"2458","CF505678"
"2459","CD575223"
"2460","DN798023"
"2461","CN190060"
"2462","CX287217"
"2463","CV709817"
"2464","CK938574"
"2465",""
"2466","CV884877"
"2467","CX639327"
"2468","CX072162"
"2469","CV714063"
"2470","CX287877"
"2471","CX672947"
"2472","CX639939"
"2473","CX297114"
"2474","CN187035"
"2475","CX674232"
"2476","DR404247"
"2477","DN620100"
"2478","CK665285"
"2479","CF833330"
"2480","CX669855"
"2481","DN795113"
"2482","CX300888"
"2483","CF509054"
"2484","DR911681"
"2485","CX670931"
"2486","CK933967"
"2487","CD574147"
"2488","CK701127"
"2489","CX050110"
"2490","CV719330"
"2491","CK936997"
"2492","DN958192"
"2493","CX069707"
"2494","CX674542"
"2495","CK935749"
"2496","CV885033"
"2497","CV718109"
"2498","CX673524"
"2499","CX308727"
"2500","CN187897"
"2501","CV709654"
"2502","CX670480"
"2503","CX674428"
"2504","CX297123"
"2505","CF837212"
"2506","CN187397"
"2507","CX075764"
"2508","CV707038"
"2509","CX301523"
"2510","CK936050"
"2511","CX636456"
"2512","AB110641"
"2513","CV704193"
"2514","CF508134"
"2515","CX070430"
"2516","DN624629"
"2517","CF417072"
"2518","CN188340"
"2519","CV711561"
"2520","CX676552"
"2521","CF505444"
"2522","CF417582"
"2523","CX075010"
"2524","CK934338"
"2525","CF417181"
"2526","BQ624958"
"2527","CX074966"
"2528","CN188794"
"2529","CF509267"
"2530","CK933235"
"2531","CX049698"
"2532","CK933102"
"2533","CX666396"
"2534","CD574635"
"2535","CN183319"
"2536","CX301300"
"2537","CN185735"
"2538","CX047672"
"2539","CX674261"
"2540","CV716856"
"2541","CB293496"
"2542","CK665579"
"2543","CX673460"
"2544","BQ624609"
"2545","CD575340"
"2546","CN186375"
"2547","CK936307"
"2548","CX640239"
"2549","CK936852"
"2550","CV708370"
"2551","CK935418"
"2552","CX673255"
"2553","CX043784"
"2554","CX307998"
"2555","CV712579"
"2556","CX672319"
"2557","CK934906"
"2558","CB250380"
"2559","CK939354"
"2560",""
"2561","CX302859"
"2562","CV717825"
"2563","CD576686"
"2564","CF831261"
"2565","CX301643"
"2566","DN622428"
"2567","CF417383"
"2568","CK934390"
"2569","CK937169"
"2570","CK936862"
"2571","DN621961"
"2572","CX051414"
"2573","CF838554"
"2574",""
"2575","DN618408"
"2576","CF507832"
"2577","DN619797"
"2578","CX047099"
"2579","CV887371"
"2580","CX665468"
"2581","CV716125"
"2582","CX291261"
"2583","CF509427"
"2584","CX047328"
"2585","C24009"
"2586","CF832138"
"2587","CX050368"
"2588","CX673539"
"2589","DN798950"
"2590","CX545294"
"2591","CX053130"
"2592","CF420550"
"2593","CK936999"
"2594","CX071857"
"2595","CV711582"
"2596","CV716242"
"2597","CK933070"
"2598","CA588039"
"2599","CX302646"
"2600","CX641415"
"2601","CX666771"
"2602","CK933304"
"2603","CF836514"
"2604","CK934396"
"2605","CF835830"
"2606","DN625642"
"2607","CV714773"
"2608","DT214410"
"2609","CD575520"
"2610","CN182983"
"2611","CX543624"
"2612","CX287694"
"2613","CX073551"
"2614","CV884948"
"2615",""
"2616","CF509818"
"2617","CX071663"
"2618","DN625188"
"2619","CX670154"
"2620","CX637951"
"2621","CV714710"
"2622","CX295295"
"2623","DN797009"
"2624","CX291650"
"2625","CX051597"
"2626","CX302244"
"2627","CX306268"
"2628","CN190606"
"2629","CN184808"
"2630","CK940007"
"2631","CX306225"
"2632","CX047937"
"2633","CX668076"
"2634","CX297162"
"2635","CK740159"
"2636","CX073745"
"2637","CK701355"
"2638","AJ012696"
"2639","CX673963"
"2640","CB290516"
"2641","CX071857"
"2642","DN797016"
"2643","CK939265"
"2644","DN795549"
"2645","CK937981"
"2646","CX671876"
"2647","CN182689"
"2648","CF420251"
"2649","CX049406"
"2650","DN797044"
"2651","CX637668"
"2652","CX291312"
"2653","CB305004"
"2654","DN617588"
"2655","CB291698"
"2656","DN621942"
"2657","CK936660"
"2658","CF836387"
"2659","CX308485"
"2660","CX290068"
"2661","CN185682"
"2662","CX043549"
"2663","CV884462"
"2664","CX075862"
"2665","DN798957"
"2666","CX290941"
"2667","CK933070"
"2668","CX043290"
"2669","CV714792"
"2670","CK933558"
"2671","CX636137"
"2672","CX643653"
"2673","CX073161"
"2674","CV714348"
"2675","CK935962"
"2676","CF418266"
"2677","CX664696"
"2678","CX542777"
"2679","CX309202"
"2680","CX051127"
"2681","CV705105"
"2682","CX075185"
"2683","CX305504"
"2684","CX300838"
"2685","CV706953"
"2686","CK936040"
"2687","CK665637"
"2688","CK933134"
"2689","DR908680"
"2690","CX072943"
"2691","CX635424"
"2692","DN959597"
"2693","CV884969"
"2694","CF831952"
"2695","CX073369"
"2696","CX293884"
"2697","CK938583"
"2698","CV719813"
"2699","CV710766"
"2700","CK702577"
"2701","CF829686"
"2702","CB293250"
"2703","CX667443"
"2704","CV885207"
"2705","CX644235"
"2706","CF828986"
"2707","CX668196"
"2708","CK940047"
"2709","CV705201"
"2710","CF832829"
"2711","CB291881"
"2712","CF833881"
"2713","CK933306"
"2714","CB610814"
"2715","CX546163"
"2716","CX048073"
"2717","DN618824"
"2718","CX666746"
"2719","CX296814"
"2720","CV709692"
"2721","DN617313"
"2722","CV710635"
"2723","CX070962"
"2724","DN798946"
"2725","CK937649"
"2726","DN622061"
"2727","CN189266"
"2728","CK937750"
"2729","CK936254"
"2730","CX045016"
"2731","CX307087"
"2732","CX047189"
"2733",""
"2734","CF418050"
"2735","DN621322"
"2736","CV714149"
"2737","CK940044"
"2738","CV711178"
"2739","CV713160"
"2740","CK933600"
"2741","CX635397"
"2742","CV718910"
"2743","CF507377"
"2744","CX667731"
"2745","CF835247"
"2746","CN188550"
"2747","CK938959"
"2748","CX289466"
"2749","CX043410"
"2750","CF836387"
"2751","CX295488"
"2752","CX292309"
"2753","CK940101"
"2754","CF508175"
"2755","CX301422"
"2756","CN191804"
"2757","CV710110"
"2758","CX643341"
"2759","CN182917"
"2760","CX045379"
"2761","CD574617"
"2762","CV719508"
"2763","CK932875"
"2764","CX075790"
"2765","CV719606"
"2766","CX046065"
"2767","CX290702"
"2768","CX638191"
"2769","CK939695"
"2770","CX304774"
"2771","CX072626"
"2772","DN798217"
"2773","CB610782"
"2774","CF420003"
"2775","CX666434"
"2776","CX635173"
"2777","CF417756"
"2778","DN797852"
"2779","DN795383"
"2780","CN182433"
"2781","CX073281"
"2782","DN959445"
"2783","CK937473"
"2784","CX302381"
"2785","CV715230"
"2786","CX674163"
"2787","CX298755"
"2788","DN623298"
"2789","CK935704"
"2790","CF838789"
"2791","CF834253"
"2792","CV711454"
"2793","CX072840"
"2794","DN620615"
"2795","DN618256"
"2796","CF838525"
"2797","CX047145"
"2798","CV716571"
"2799","AU186271"
"2800","CF506235"
"2801","CF417876"
"2802","CX288676"
"2803","CX638788"
"2804","CV716504"
"2805","DN624711"
"2806","CX043942"
"2807","CK936234"
"2808","DN797380"
"2809","BQ623245"
"2810","CF838084"
"2811","CX306980"
"2812","CX671618"
"2813","CX305641"
"2814","DN798477"
"2815","CK936113"
"2816","DN620285"
"2817","CX043848"
"2818","CX545682"
"2819","CX291564"
"2820",""
"2821","CX073501"
"2822","CX072849"
"2823","CX668095"
"2824",""
"2825","CN187619"
"2826","CV706813"
"2827","CX304747"
"2828","CX047919"
"2829","CX638652"
"2830","CF838781"
"2831","CN184583"
"2832","CX643188"
"2833","DN797974"
"2834","CX069925"
"2835","CV705388"
"2836",""
"2837","CV710440"
"2838","CK937628"
"2839","DN619329"
"2840","CK933052"
"2841","CX637316"
"2842","CV707274"
"2843","CK932596"
"2844","CF653540"
"2845","CX305414"
"2846","CV715148"
"2847","CV885953"
"2848","CX043358"
"2849","CX299724"
"2850","CX045776"
"2851","CX302952"
"2852","DN957644"
"2853","CK939925"
"2854","DN798854"
"2855","CN184764"
"2856","CB293238"
"2857","CX297975"
"2858","CV719148"
"2859","CN182557"
"2860","CK933695"
"2861","CX069460"
"2862","CF837458"
"2863","DN618266"
"2864","DN959988"
"2865","CK933671"
"2866","CX296711"
"2867","CX046300"
"2868","CX672145"
"2869","CX073992"
"2870","CX308234"
"2871","CX665562"
"2872","BQ623268"
"2873","CX668623"
"2874","CB290497"
"2875","CB292741"
"2876","CX543945"
"2877","CX308641"
"2878","DN625409"
"2879","CX070082"
"2880","CN187139"
"2881","BQ623314"
"2882","CK665519"
"2883","CX636236"
"2884","DN619387"
"2885","CV705566"
"2886","CX635431"
"2887","CX050037"
"2888","CF653346"
"2889",""
"2890","CX636443"
"2891","CK933853"
"2892","CV885280"
"2893","CX043820"
"2894","DN624967"
"2895","CX675272"
"2896","CB293976"
"2897","CV708112"
"2898","CF508194"
"2899","DN795725"
"2900","CX635353"
"2901","CX635161"
"2902","CX675075"
"2903","CX297817"
"2904","CV716396"
"2905","CX643080"
"2906","CX667001"
"2907","CF829884"
