ID,adj.P.Val,P.Value,logFC,GB_ACC
Cit.10921.1.S1_s_at,0.0201091,0.00449,-0.3528718,CD573834
Cit.38287.1.S1_at,0.0201091,0.00449,-0.3556413,CF507096
Cit.749.1.S1_x_at,0.0201166,0.0045,0.8075245,CF828890
Cit.30486.1.S1_s_at,0.0201393,0.0045,-0.3218603,CX670850
Cit.35830.1.S1_at,0.0201767,0.00451,-0.7872879,CF931523
Cit.31281.1.S1_at,0.0201829,0.00451,-0.3388017,CF837270
Cit.2317.1.S1_at,0.0201875,0.00451,0.516662,CX048355
Cit.4658.1.S1_at,0.0202048,0.00452,-0.6902808,CN190428
Cit.26058.1.S1_s_at,0.0202532,0.00453,-0.4676123,CF834912
Cit.35680.1.S1_at,0.0202598,0.00453,0.2798092,DN799010
Cit.24614.1.S1_s_at,0.0202598,0.00453,-0.3719323,CX635743
Cit.6114.1.S1_at,0.0202611,0.00453,-0.3669017,CK701622
Cit.6451.1.S1_at,0.0203182,0.00455,0.3138189,CV712945
Cit.32674.1.S1_at,0.0203182,0.00455,0.2725836,CX293380
Cit.29684.1.S1_at,0.0203182,0.00455,-0.4445981,CF507963
Cit.13240.1.S1_at,0.0203182,0.00455,0.354123,CN185017
Cit.2148.1.S1_s_at,0.0203407,0.00456,-0.805921,DN796896
Cit.3212.1.S1_at,0.0203417,0.00456,-0.3403312,CV709463
Cit.19452.1.S1_s_at,0.0203417,0.00456,-0.389534,CK933313
Cit.20789.1.S1_at,0.0203417,0.00456,0.3934744,DN798413
Cit.30669.1.S1_at,0.0203428,0.00456,-0.2611005,CK935678
Cit.6682.1.S1_at,0.0203636,0.00456,-0.7272603,CN191425
Cit.14030.1.S1_s_at,0.020364,0.00457,0.378654,CX640372
Cit.37807.1.S1_at,0.0203658,0.00457,0.4485081,CF420590
Cit.8734.1.S1_s_at,0.0203711,0.00457,-0.5013994,CX670778
Cit.15797.1.S1_at,0.0203871,0.00457,-0.7099438,CN183687
Cit.20175.1.S1_x_at,0.0203876,0.00457,-0.3175932,CN182576
Cit.7558.1.S1_at,0.0203881,0.00457,0.3031324,CX043797
Cit.4063.1.S1_s_at,0.0204096,0.00458,-0.4627781,CF829886
Cit.9555.1.S1_s_at,0.0204281,0.00459,0.4026925,DT214672
Cit.15496.1.S1_at,0.0204281,0.00459,0.405729,CX669844
Cit.23400.1.S1_at,0.0204281,0.00459,-0.4493303,CX672905
Cit.12878.1.S1_s_at,0.0204301,0.00459,-0.4187824,CX676430
Cit.9000.1.S1_s_at,0.0204308,0.00459,-0.86239,CV712411
Cit.1001.1.S1_s_at,0.020445,0.00459,-0.5367262,DN618889
Cit.38778.1.S1_at,0.020469,0.0046,0.494206,CK702097
Cit.27105.1.S1_s_at,0.020488,0.0046,-0.3110743,CV717977
Cit.8361.1.S1_at,0.020488,0.0046,-0.5618286,CV708034
Cit.13006.1.S1_s_at,0.0204944,0.00461,-0.487115,CF832837
Cit.4900.1.S1_s_at,0.0204944,0.00461,0.4811428,CX049834
Cit.2581.1.S1_at,0.0204944,0.00461,0.3167187,CX545802
Cit.11704.1.S1_s_at,0.0204944,0.00461,0.3699572,CF508799
Cit.33283.1.S1_at,0.0205047,0.00461,-0.4054054,CX299474
Cit.3507.1.S1_at,0.0205369,0.00462,0.4244814,CX073415
Cit.27419.1.S1_s_at,0.0205369,0.00462,0.3825496,CX072633
Cit.15773.1.S1_at,0.0205374,0.00462,-1.1100451,CX636534
Cit.19242.1.S1_at,0.0205416,0.00462,0.4017392,CX303305
Cit.4018.1.S1_at,0.0205468,0.00462,-0.4683697,CF829155
Cit.5337.1.S1_s_at,0.0205558,0.00463,-0.4359856,CX074648
Cit.9762.1.S1_at,0.0205689,0.00463,-0.2680251,CX544586
Cit.19673.1.S1_at,0.0205709,0.00463,0.3050371,CK938326
Cit.2646.1.S1_s_at,0.0205747,0.00463,-0.8233473,CF837150
Cit.35284.1.S1_at,0.0205818,0.00463,0.4004057,CK935792
Cit.20234.1.S1_at,0.0205824,0.00464,1.6084127,CV713694
Cit.16043.1.S1_at,0.0206092,0.00464,-0.4224739,CV713535
Cit.30530.1.S1_s_at,0.0206199,0.00465,-0.3917771,CF420054
Cit.4598.1.S1_at,0.0206235,0.00465,-0.5043185,CX671990
Cit.16512.1.S1_at,0.0206353,0.00465,-0.5334254,CX049895
Cit.34940.1.S1_at,0.0206376,0.00465,-0.6356415,C81869
Cit.16710.1.S1_at,0.0206402,0.00465,0.4354354,CX676313
Cit.15402.1.S1_at,0.0206402,0.00465,-0.39317,CN190835
Cit.22109.1.S1_s_at,0.0206438,0.00465,0.4823334,DN625114
Cit.31513.1.S1_at,0.0206438,0.00466,-0.3521335,
Cit.3380.1.S1_at,0.0206438,0.00466,-0.2970079,CX672389
Cit.14457.1.S1_at,0.0206443,0.00466,-0.623943,CV719681
Cit.28877.1.S1_at,0.0206443,0.00466,4.0886522,CX544869
Cit.25433.1.S1_s_at,0.0206443,0.00466,0.9023757,CX665604
Cit.36088.1.S1_s_at,0.020646,0.00466,-0.6049832,CF837783
Cit.33172.1.S1_at,0.0206537,0.00466,-0.5891476,CX297947
Cit.14657.1.S1_at,0.020681,0.00467,-0.4417785,CV718959
Cit.6644.1.S1_at,0.020681,0.00467,-0.3302678,CK932620
Cit.17970.1.S1_at,0.0206902,0.00467,-0.4042411,CX301938
Cit.9328.1.S1_at,0.0207035,0.00468,-0.4227599,CX670517
Cit.6059.1.S1_at,0.0207035,0.00468,-0.3217013,CB290346
Cit.11807.1.S1_s_at,0.0207395,0.00469,-0.3419059,CF833719
Cit.10901.1.S1_at,0.0207612,0.00469,-0.2818358,CF836227
Cit.11921.1.S1_at,0.0207721,0.00469,-0.3195012,CX044826
Cit.10031.1.S1_s_at,0.0207891,0.0047,-0.3660078,DN135096
Cit.29048.1.S1_x_at,0.0207891,0.0047,-0.4726367,CX639048
Cit.37094.1.S1_s_at,0.0208073,0.0047,0.5511276,CX641393
Cit.16083.1.S1_s_at,0.0208073,0.0047,0.7068663,CV719667
Cit.7136.1.S1_at,0.0208112,0.00471,0.7011558,DN621230
Cit.4861.1.S1_at,0.0208419,0.00471,-0.3794715,DN618963
Cit.11934.1.S1_s_at,0.0208912,0.00473,0.4225486,CX074706
Cit.15058.1.S1_at,0.0208926,0.00473,-0.421419,CX637981
Cit.12506.1.S1_at,0.0208926,0.00473,-0.6581071,CX073770
Cit.32769.1.S1_s_at,0.0208926,0.00473,-0.3423223,CX294404
Cit.11825.1.S1_s_at,0.0209113,0.00473,-0.4966365,CV709814
Cit.17986.1.S1_s_at,0.0209337,0.00474,0.3500915,CX640376
Cit.5084.1.S1_at,0.0209337,0.00474,-1.2529621,CN186015
Cit.21374.1.S1_s_at,0.0209337,0.00474,-0.529968,DR405325
Cit.17766.1.S1_at,0.0209337,0.00474,0.8145734,CX290618
Cit.2690.1.S1_s_at,0.0209385,0.00474,0.3177812,CX046065
Cit.23123.1.S1_s_at,0.020946,0.00474,-0.3902002,CX070527
Cit.12285.1.S1_s_at,0.0209564,0.00475,-0.3989219,CV708272
Cit.18271.1.S1_at,0.0209703,0.00475,0.4791444,CX291851
Cit.9025.1.S1_x_at,0.0209735,0.00475,-0.4242761,DN797275
Cit.3330.1.S1_s_at,0.0209754,0.00475,-0.2985437,CX666398
Cit.11813.1.S1_s_at,0.0209959,0.00476,-0.4096891,CV884665
Cit.25200.1.S1_at,0.0210041,0.00476,-0.909704,DN622664
Cit.1904.1.S1_s_at,0.0210057,0.00476,0.2817717,CF835585
Cit.12656.1.S1_s_at,0.0210293,0.00477,-0.2962002,CV719825
Cit.8501.1.S1_at,0.0210293,0.00477,-0.8755982,CX302425
Cit.4654.1.S1_at,0.0210569,0.00478,0.4237652,CX663450
Cit.8344.1.S1_s_at,0.021066,0.00478,-0.3834604,CN189702
Cit.19847.1.S1_at,0.0211069,0.00479,-0.4340352,CK932734
Cit.48.1.S1_s_at,0.0211079,0.00479,-0.5874759,CN187703
Cit.4498.1.S1_at,0.0211344,0.0048,2.8048716,CV705450
Cit.37512.1.S1_at,0.0211344,0.0048,-0.319231,CF417133
Cit.6301.1.S1_at,0.0211661,0.00481,-0.3289342,DN621625
Cit.3033.1.S1_s_at,0.0211772,0.00481,-0.2807997,CV884349
Cit.29470.1.S1_at,0.0211818,0.00481,-0.4813058,CX637797
Cit.27617.1.S1_at,0.021182,0.00481,2.1936379,CX075989
Cit.2798.1.S1_at,0.0212204,0.00482,-0.5754706,CX544668
Cit.14551.1.S1_s_at,0.0212223,0.00482,0.5963042,CX674742
Cit.4458.1.S1_at,0.0212249,0.00482,-0.6362453,CX073948
Cit.4990.1.S1_x_at,0.0212298,0.00483,-1.9713027,DN622839
Cit.12780.1.S1_s_at,0.0212298,0.00483,-0.3108618,CX667396
Cit.11080.1.S1_s_at,0.0212355,0.00483,0.2526621,DN620340
Cit.5782.1.S1_s_at,0.0212437,0.00483,0.3423793,CX047554
Cit.37185.1.S1_at,0.0212644,0.00484,0.582318,CF653472
Cit.20289.1.S1_s_at,0.0212865,0.00484,-0.4090172,CX075221
Cit.19665.1.S1_s_at,0.0212969,0.00485,-0.4489858,CX295640
Cit.3973.1.S1_s_at,0.0212969,0.00485,-0.7833855,CX671015
Cit.22267.1.S1_at,0.0212969,0.00485,-0.5715277,CX669417
Cit.5764.1.S1_at,0.0212969,0.00485,-0.3730492,CF833070
Cit.14475.1.S1_at,0.0212969,0.00485,-0.5630151,CX544417
Cit.7880.1.S1_at,0.0212971,0.00485,-0.6983885,CX671329
Cit.28905.1.S1_at,0.021301,0.00485,-0.5326096,CX545255
Cit.14545.1.S1_at,0.021301,0.00485,-0.3458408,CX051004
Cit.3262.1.S1_at,0.021301,0.00485,-2.8942168,CX542813
Cit.22455.1.S1_at,0.0213198,0.00486,-0.5009293,CB291886
Cit.7664.1.S1_at,0.021322,0.00486,-0.9898827,CX071224
Cit.10673.1.S1_at,0.0213267,0.00486,0.4014772,CX672012
Cit.29485.1.S1_s_at,0.0213267,0.00486,-0.4631025,CK935107
Cit.6798.1.S1_s_at,0.0213307,0.00486,-0.4329985,CX309167
Cit.20053.1.S1_x_at,0.0213408,0.00486,0.4112715,CX664077
Cit.29640.1.S1_s_at,0.0213488,0.00487,0.3197012,DN798462
Cit.18588.1.S1_at,0.0213546,0.00487,-0.2985958,CX297484
Cit.21998.1.S1_s_at,0.0213546,0.00487,-0.3745667,DN622837
Cit.6992.1.S1_at,0.0213553,0.00487,-0.3469582,CX047040
Cit.3085.1.S1_at,0.0213621,0.00487,-0.3294478,CF506516
Cit.28022.1.S1_s_at,0.0213882,0.00488,-0.8451056,DT214557
Cit.35024.1.S1_at,0.0214133,0.00489,-0.6774045,CK934809
Cit.11397.1.S1_at,0.0214378,0.00489,-0.485528,CX051115
Cit.9559.1.S1_s_at,0.0214395,0.00489,-0.5541188,CN189053
Cit.4414.1.S1_s_at,0.0214395,0.00489,0.3722216,CX544709
Cit.31112.1.S1_at,0.0214395,0.00489,0.305919,CX305675
Cit.7624.1.S1_at,0.0214406,0.0049,-1.2272885,CX073633
Cit.14822.1.S1_s_at,0.0214426,0.0049,0.2541842,CX642273
Cit.33328.1.S1_s_at,0.0214479,0.0049,0.3122334,CX300260
Cit.18202.1.S1_s_at,0.0214587,0.0049,-0.3407519,CX298406
Cit.20607.1.S1_at,0.0214697,0.00491,-0.4661789,CK740236
Cit.28033.1.S1_at,0.0214885,0.00491,-0.384035,CX672315
Cit.5081.1.S1_s_at,0.0214897,0.00491,0.3269231,CX069999
Cit.10639.1.S1_s_at,0.0214897,0.00491,-0.3487752,CX667575
Cit.17888.1.S1_s_at,0.021491,0.00491,0.401322,CF838857
Cit.6064.1.S1_at,0.0214937,0.00491,0.6442429,CX640426
Cit.21727.1.S1_s_at,0.0214945,0.00492,-0.4688069,CX305285
Cit.3459.1.S1_s_at,0.0215135,0.00492,-0.3843491,CX670919
Cit.5095.1.S1_at,0.021539,0.00493,-0.3532585,CB304441
Cit.6572.1.S1_at,0.021559,0.00493,0.6010367,CV886691
Cit.5847.1.S1_a_at,0.0215834,0.00494,-0.9996525,CN184532
Cit.1890.1.S1_s_at,0.0215918,0.00494,-0.3423193,CN186616
Cit.31315.1.S1_at,0.0215918,0.00494,-0.3180787,CF508758
Cit.18255.1.S1_at,0.0215993,0.00494,0.2416589,DN798772
Cit.3400.1.S1_at,0.0215993,0.00494,-0.3633966,CX072254
Cit.15292.1.S1_at,0.0216066,0.00495,-0.3922812,CV718159
Cit.20992.1.S1_at,0.0216109,0.00495,1.0702032,DN795392
Cit.12435.1.S1_s_at,0.0216109,0.00495,0.4846128,CV716616
Cit.2926.1.S1_at,0.0216109,0.00495,-0.9535256,CX292396
Cit.14084.1.S1_s_at,0.0216109,0.00495,-0.5001127,CX643595
Cit.40083.1.S1_s_at,0.0216126,0.00495,-0.3477436,CK937546
Cit.25389.1.S1_at,0.0216235,0.00496,-0.9448586,CX663809
Cit.5305.1.S1_at,0.0216364,0.00496,0.3840258,CX053309
Cit.27302.1.S1_s_at,0.0216364,0.00496,-1.3207949,CX070350
Cit.24465.1.S1_at,0.0216368,0.00496,0.4098426,CX545280
Cit.6764.1.S1_at,0.0216476,0.00496,-0.305819,CV885059
Cit.14587.1.S1_at,0.0216476,0.00496,-0.6014441,CX075782
Cit.32105.1.S1_at,0.0216526,0.00497,-0.3547253,CX288642
Cit.35151.1.S1_s_at,0.0216534,0.00497,0.2674787,CK933332
Cit.900.1.S1_s_at,0.0216534,0.00497,0.4694856,CX672909
Cit.5365.1.S1_at,0.0216534,0.00497,-0.3305526,CX295837
Cit.37554.1.S1_at,0.0216724,0.00497,0.3410652,CF417478
Cit.17148.1.S1_s_at,0.0216724,0.00497,-0.3706917,CN191687
Cit.29788.1.S1_at,0.0216729,0.00498,-0.2990173,DN959854
Cit.38431.1.S1_at,0.0216785,0.00498,-0.4229921,CF508309
Cit.2159.1.S1_at,0.0216795,0.00498,-0.5230007,CD574227
Cit.31307.1.S1_at,0.0217028,0.00498,-0.449953,CX294979
Cit.29555.1.S1_x_at,0.02171,0.00499,-0.4042518,CK740141
Cit.23004.1.S1_at,0.0217151,0.00499,-1.2364155,CX046168
Cit.37529.1.S1_at,0.0217188,0.00499,-0.507427,CF417279
Cit.4091.1.S1_s_at,0.0217188,0.00499,-0.3297305,CK932757
Cit.26237.1.S1_s_at,0.0217375,0.005,-0.62209,CN183937
Cit.6274.1.S1_at,0.0217878,0.00501,-0.2759121,CX668004
Cit.20690.1.S1_at,0.0217969,0.00501,-0.5403566,DN797582
Cit.24556.1.S1_s_at,0.0218009,0.00501,0.5351171,CX546408
Cit.6382.1.S1_at,0.0218057,0.00501,-0.2829339,CV884413
Cit.38364.1.S1_at,0.0218189,0.00502,-0.3977455,CF507756
Cit.13229.1.S1_at,0.0218189,0.00502,-0.247517,CN189043
Cit.14847.1.S1_at,0.0218189,0.00502,0.4159875,CX675630
Cit.35439.1.S1_at,0.0218189,0.00502,-0.7495381,CK937209
Cit.27684.1.S1_at,0.0218205,0.00502,-0.5194207,CX076886
Cit.15600.1.S1_at,0.0218205,0.00502,-0.2829144,CX673110
Cit.20016.1.S1_at,0.0218205,0.00502,-0.5026809,CK937700
Cit.11138.1.S1_s_at,0.0218205,0.00502,0.3756529,CX069697
Cit.5014.1.S1_s_at,0.0218215,0.00502,-0.2893495,CX046403
Cit.31029.1.S1_at,0.0218215,0.00503,0.3268645,CF508113
Cit.11101.1.S1_x_at,0.0218215,0.00503,-0.7789851,CD575430
Cit.37509.1.S1_at,0.0218274,0.00503,-0.5597578,CF417107
Cit.38277.1.S1_at,0.0218274,0.00503,-0.6268594,CF507004
Cit.29663.1.S1_s_at,0.0218302,0.00503,-0.6256932,CX073827
Cit.12318.1.S1_at,0.0218505,0.00504,-0.2839562,CX665946
Cit.1139.1.S1_at,0.0218717,0.00504,-0.6110372,CX049863
Cit.11996.1.S1_s_at,0.0218752,0.00504,-0.444995,CX074988
Cit.6235.1.S1_at,0.02188,0.00504,-0.5874136,CX302433
Cit.16223.1.S1_at,0.0219008,0.00505,0.3321066,CF837638
Cit.28695.1.S1_at,0.0219179,0.00506,1.6039412,
Cit.19497.1.S1_at,0.0219179,0.00506,-0.2929554,CK932958
Cit.15617.1.S1_at,0.0219179,0.00506,-0.4546464,CX050885
Cit.38944.1.S1_at,0.0219179,0.00506,-0.4322532,DN797636
Cit.23919.1.S1_at,0.0219298,0.00506,0.6668896,CV708932
Cit.31234.1.S1_at,0.0219346,0.00506,0.4187534,CO912653
Cit.16174.1.S1_at,0.0219357,0.00506,1.0050769,CV710416
Cit.348.1.S1_s_at,0.021965,0.00507,0.3053596,CN186805
Cit.9354.1.S1_s_at,0.021965,0.00507,0.2990465,CX666995
Cit.22787.1.S1_at,0.021965,0.00507,0.6170832,CN186649
Cit.6851.1.S1_at,0.0219676,0.00507,0.5526343,CX638886
Cit.2933.1.S1_s_at,0.0219721,0.00508,-0.4988044,CX664460
Cit.3758.1.S1_s_at,0.0219721,0.00508,-0.2512846,CF837660
Cit.22005.1.S1_x_at,0.0219772,0.00508,-0.318236,DN622991
Cit.16268.1.S1_at,0.0219772,0.00508,0.4079858,CF829158
Cit.22699.1.S1_at,0.0219834,0.00508,-0.3880458,CN183563
Cit.16001.1.S1_at,0.0219921,0.00508,-0.8752274,CV710060
Cit.15599.1.S1_s_at,0.0220007,0.00509,-0.3004688,CV708700
Cit.22606.1.S1_at,0.0220064,0.00509,-0.7277885,CF835880
Cit.17179.1.S1_at,0.0220107,0.00509,-0.5911314,CX303176
Cit.5883.1.S1_at,0.0220183,0.00509,-0.5267047,CN186222
Cit.7345.1.S1_at,0.0220183,0.00509,0.6950449,CV706401
Cit.33235.1.S1_at,0.022026,0.0051,-0.7948192,CX298832
Cit.10752.1.S1_s_at,0.022034,0.0051,-0.402531,CV884341
Cit.14007.1.S1_s_at,0.022065,0.00511,-0.4237164,CN185205
Cit.12785.1.S1_s_at,0.0220653,0.00511,-0.284181,CF836759
Cit.30383.1.S1_x_at,0.022085,0.00511,1.3115283,CX297992
Cit.2091.1.S1_s_at,0.022085,0.00511,-0.5161874,DN621437
Cit.30759.1.S1_s_at,0.0220955,0.00512,-0.5684827,CF418697
Cit.14868.1.S1_at,0.0220955,0.00512,0.6524546,CF828125
Cit.16355.1.S1_at,0.0221058,0.00512,-1.3961954,DN625375
Cit.23471.1.S1_s_at,0.0221113,0.00512,-0.4813174,CX674644
Cit.19292.1.S1_at,0.0221126,0.00512,0.7193494,CX306061
Cit.21331.1.S1_x_at,0.0221214,0.00513,-1.7528979,CV711512
Cit.4941.1.S1_s_at,0.0221214,0.00513,0.5800269,CV714280
Cit.7002.1.S1_at,0.0221223,0.00513,-0.3006419,DN622248
Cit.31487.1.S1_at,0.0221237,0.00513,-1.0432429,CX294630
Cit.23613.1.S1_at,0.0221241,0.00513,0.8601043,CV704474
Cit.37178.1.S1_at,0.0221276,0.00513,-0.4365224,CF653374
Cit.14593.1.S1_s_at,0.0221276,0.00513,-0.4961213,CX640435
Cit.4424.1.S1_at,0.0221276,0.00513,-0.8452157,CX302618
Cit.31436.1.S1_at,0.0221308,0.00513,-0.2630717,CX289883
Cit.38878.1.S1_at,0.0221409,0.00514,-0.3312229,CK740192
Cit.5802.1.S1_s_at,0.0221517,0.00514,-0.3231309,DN623212
Cit.4216.1.S1_s_at,0.0221548,0.00514,-0.6323793,CX672299
Cit.8492.1.S1_at,0.0221579,0.00514,-0.3466641,CK938639
Cit.18015.1.S1_x_at,0.0221579,0.00514,0.266011,CK936701
Cit.14014.1.S1_at,0.0221618,0.00515,-0.3504429,CN182320
Cit.24576.1.S1_at,0.0221618,0.00515,-2.2340991,CX546646
Cit.23845.1.S1_at,0.0221674,0.00515,1.3241332,CV707405
Cit.3608.1.S1_at,0.0221924,0.00515,0.5689146,CV709021
Cit.28112.1.S1_at,0.0221975,0.00516,0.9084562,CX673933
Cit.4289.1.S1_s_at,0.0222049,0.00516,-0.321926,CV718160
Cit.1981.1.S1_at,0.022223,0.00516,-0.9505223,CF830913
Cit.21836.1.S1_at,0.022223,0.00516,-0.5346863,CB304512
Cit.14985.1.S1_at,0.0222504,0.00517,-0.3358186,CX640284
Cit.28220.1.S1_at,0.0222504,0.00517,-0.4058062,DN618375
Cit.7565.1.S1_at,0.0222504,0.00517,-0.4862292,CX076135
Cit.30495.1.S1_at,0.0222526,0.00517,-0.572494,CX291948
Cit.3896.1.S1_at,0.0222605,0.00518,0.4924893,CF509223
Cit.32027.1.S1_at,0.0222639,0.00518,-1.0593206,CX287907
Cit.26070.1.S1_at,0.0222753,0.00518,3.1894265,CF835108
Cit.17376.1.S1_at,0.0222753,0.00518,0.3841187,CK939929
Cit.4619.1.S1_s_at,0.0222753,0.00518,-0.3399502,CX670292
Cit.30343.1.S1_at,0.0222753,0.00518,0.4892139,CV884788
Cit.40124.1.S1_at,0.0222753,0.00519,-0.9077197,
Cit.8799.1.S1_s_at,0.0222753,0.00519,0.3303818,CF830836
Cit.19788.1.S1_s_at,0.0222764,0.00519,-1.0741676,CK937076
Cit.31078.1.S1_at,0.0222764,0.00519,-0.3808622,DN134766
Cit.12791.1.S1_at,0.0222789,0.00519,0.3123277,CV706396
Cit.23397.1.S1_at,0.0222821,0.00519,0.5255582,CX672850
Cit.23291.1.S1_at,0.0222958,0.00519,-1.2806491,CX049120
Cit.13217.1.S1_at,0.0222964,0.0052,-0.3316945,CN191349
Cit.13892.1.S1_at,0.0222964,0.0052,0.4852423,CX045902
Cit.13669.1.S1_at,0.0222964,0.0052,0.3821382,CX544103
Cit.15362.1.S1_at,0.0222991,0.0052,-0.3603918,CX044022
Cit.15877.1.S1_at,0.0223124,0.0052,-0.5076868,CV714598
Cit.18689.1.S1_s_at,0.0223522,0.00521,0.7067226,CX299309
Cit.30188.1.S1_at,0.0223522,0.00521,-0.4645544,DN797339
Cit.6270.1.S1_at,0.0223568,0.00521,1.4729453,CX048770
Cit.20076.1.S1_at,0.0223615,0.00522,-4.4773256,CX667791
Cit.17552.1.S1_at,0.022368,0.00522,-0.3850686,CK934460
Cit.15609.1.S1_at,0.0223757,0.00522,-0.380435,CX638044
Cit.8642.1.S1_at,0.0223766,0.00522,0.4323304,CX668956
Cit.7299.1.S1_s_at,0.0223784,0.00522,0.6746514,CX543131
Cit.32035.1.S1_at,0.0223796,0.00522,-0.370985,CX288003
Cit.21401.1.S1_s_at,0.0223895,0.00523,0.3650234,DT214481
Cit.29877.1.S1_at,0.0223928,0.00523,0.5267072,CF417638
Cit.29670.1.S1_s_at,0.0223986,0.00523,-0.3726741,CK938141
Cit.18082.1.S1_at,0.0223986,0.00523,0.257288,CV713330
Cit.28526.1.S1_at,0.0223986,0.00523,-0.3810734,CV708998
Cit.26225.1.S1_x_at,0.0223986,0.00523,-0.2722635,CN183548
Cit.8649.1.S1_x_at,0.0224075,0.00524,-2.71259,CN186507
Cit.22277.1.S1_s_at,0.0224101,0.00524,-3.2571273,CX669683
Cit.26717.1.S1_at,0.0224301,0.00524,2.9002902,CV712225
Cit.3331.1.S1_at,0.022438,0.00525,0.3891193,CX673278
Cit.38485.1.S1_at,0.022438,0.00525,0.3603888,CF508961
Cit.32144.1.S1_at,0.022438,0.00525,-0.2811026,CX288844
Cit.15515.1.S1_at,0.022438,0.00525,-0.3452889,CV884404
Cit.4079.1.S1_s_at,0.0224454,0.00525,-0.3645782,CX044627
Cit.12962.1.S1_at,0.0224613,0.00525,0.2905402,CF834183
Cit.39512.1.S1_at,0.0224669,0.00526,-0.6528929,DN795226
Cit.15938.1.S1_at,0.0224675,0.00526,1.7849068,CD575509
Cit.4967.1.S1_at,0.0224675,0.00526,0.470172,CX045148
Cit.32256.1.S1_at,0.0224931,0.00526,-0.7267577,CX289884
Cit.28140.1.S1_at,0.0225054,0.00527,0.7354228,CX674779
Cit.12227.1.S1_at,0.0225054,0.00527,-0.4967148,CV714937
Cit.20709.1.S1_s_at,0.0225128,0.00527,0.4849179,DN797815
Cit.15486.1.S1_at,0.0225176,0.00527,-0.7925125,DN625451
Cit.3526.1.S1_at,0.0225194,0.00527,-0.618357,CK937460
Cit.11934.1.S1_at,0.0225194,0.00528,0.3239393,CX074706
Cit.7963.1.S1_at,0.0225264,0.00528,-1.3152848,CX639114
Cit.20535.1.S1_at,0.0225264,0.00528,-0.3676872,BQ624364
Cit.15333.1.S1_at,0.0225264,0.00528,-0.4908521,CX051359
Cit.23894.1.S1_at,0.0225264,0.00528,-2.8731803,CV708326
Cit.20204.1.S1_x_at,0.0225264,0.00528,-0.8913756,CN188004
Cit.6424.1.S1_at,0.0225264,0.00528,0.357754,CN189396
Cit.7647.1.S1_at,0.0225264,0.00528,-0.5194531,CX672084
Cit.5856.1.S1_at,0.0225274,0.00528,0.8777016,DN617951
Cit.4870.1.S1_at,0.0225501,0.00529,0.6797681,CX673436
Cit.12115.1.S1_at,0.0225501,0.00529,-2.8668558,CF830195
Cit.18187.1.S1_at,0.0225563,0.00529,3.6468263,CD575052
Cit.30193.1.S1_at,0.0225724,0.0053,1.9445835,CX288870
Cit.40204.1.S1_at,0.0225754,0.0053,-0.8216903,
Cit.33825.1.S1_at,0.0225762,0.0053,1.0066394,CX302451
Cit.5009.1.S1_at,0.0225762,0.0053,0.2799437,CV885617
Cit.11848.1.S1_s_at,0.0225835,0.0053,0.3055239,CN183452
Cit.14019.1.S1_at,0.0225855,0.0053,-0.655964,CV884446
Cit.29883.1.S1_a_at,0.0225901,0.00531,0.5794353,CF510057
Cit.32002.1.S1_at,0.022592,0.00531,-1.1220678,CX287685
Cit.12742.1.S1_s_at,0.0225939,0.00531,-0.358099,CD575214
Cit.2948.1.S1_s_at,0.0225939,0.00531,-0.3395786,CX053246
Cit.15352.1.S1_at,0.022598,0.00531,0.361889,CX663933
Cit.4540.1.S1_s_at,0.0226046,0.00531,-0.4055689,DT214475
Cit.18640.1.S1_at,0.0226363,0.00532,-0.4538834,CX298260
Cit.27426.1.S1_at,0.0226578,0.00533,-0.5065047,CX072764
Cit.19650.1.S1_at,0.0226721,0.00533,0.4386439,CK938599
Cit.6250.1.S1_s_at,0.0226721,0.00533,-0.4655557,CN186110
Cit.26188.1.S1_at,0.0226721,0.00533,0.6598537,CN182293
Cit.7875.1.S1_at,0.0227104,0.00534,-0.3620162,CV711262
Cit.31305.1.S1_at,0.0227286,0.00535,0.359004,CX292178
Cit.27475.1.S1_s_at,0.0227347,0.00535,-0.3096661,CX073618
Cit.13961.1.S1_at,0.0227451,0.00535,0.3184275,DN622472
Cit.16086.1.S1_at,0.0227604,0.00536,0.5575337,CX308745
Cit.13736.1.S1_at,0.0227658,0.00536,-1.0760246,CX043377
Cit.12326.1.S1_s_at,0.0227684,0.00536,-0.3801364,CN192465
Cit.6220.1.S1_at,0.0227726,0.00536,-1.0776363,CX663678
Cit.33963.1.S1_at,0.0227797,0.00536,0.2460561,CX303067
Cit.33193.1.S1_s_at,0.0227797,0.00536,0.3570043,CX298290
Cit.22413.1.S1_at,0.0228036,0.00537,0.7238349,CB291126
Cit.3708.1.S1_s_at,0.0228036,0.00537,-0.2436552,CX053295
Cit.33092.1.S1_at,0.0228119,0.00537,1.4089818,CX297240
Cit.26867.1.S1_at,0.0228172,0.00538,2.3651644,CV714982
Cit.14673.1.S1_at,0.0228289,0.00538,5.187352,CK701797
Cit.19586.1.S1_s_at,0.0228289,0.00538,0.2883276,CK939226
Cit.7994.1.S1_at,0.0228289,0.00538,-0.3517001,CV719182
Cit.13056.1.S1_s_at,0.0228299,0.00538,-0.2888227,CX052890
Cit.28321.1.S1_s_at,0.0228523,0.00539,-0.3230044,DN621150
Cit.31928.1.S1_at,0.0228731,0.00539,0.2802296,CX287128
