ID,adj.P.Val,P.Value,logFC,GB_ACC
Cit.12183.1.S1_at,6.51e-05,1.7e-07,-3.5777616,CX675637
Cit.8262.1.S1_x_at,6.51e-05,1.72e-07,-3.0973697,CF832155
Cit.31085.1.S1_at,6.54e-05,1.75e-07,3.6750882,CF506570
Cit.16692.1.S1_at,6.63e-05,1.83e-07,-3.9975023,CX641923
Cit.13396.1.S1_at,6.63e-05,1.85e-07,3.9193413,CX077423
Cit.13551.1.S1_s_at,6.63e-05,1.85e-07,-2.3559642,CV885844
Cit.19129.1.S1_at,6.63e-05,1.88e-07,2.2484099,CX302610
Cit.23237.1.S1_s_at,6.63e-05,1.89e-07,3.0326945,CX675186
Cit.2630.1.S1_at,6.63e-05,1.9e-07,-5.1071054,CF417203
Cit.11394.1.S1_s_at,6.69e-05,1.94e-07,-2.530276,CX637781
Cit.5438.1.S1_at,6.71e-05,1.98e-07,-3.3154333,CX046656
Cit.31279.1.S1_at,6.71e-05,2.01e-07,-2.7615136,CX293805
Cit.6160.1.S1_at,6.71e-05,2.02e-07,2.858024,CX666631
Cit.25028.1.S1_at,6.75e-05,2.06e-07,2.9935693,CX296119
Cit.33173.1.S1_at,6.75e-05,2.07e-07,2.5463928,CX297964
Cit.4697.1.S1_at,6.86e-05,2.15e-07,3.7561746,CX542932
Cit.12617.1.S1_s_at,6.86e-05,2.17e-07,2.234795,CN190764
Cit.23903.1.S1_s_at,6.86e-05,2.19e-07,2.5324637,CV708459
Cit.30420.1.S1_x_at,6.86e-05,2.23e-07,2.6012796,CK934280
Cit.39721.1.S1_x_at,6.86e-05,2.24e-07,2.6376149,CK938732
Cit.29443.1.S1_s_at,6.86e-05,2.24e-07,2.5429976,CK935824
Cit.13166.1.S1_at,6.89e-05,2.28e-07,2.2828677,DN618359
Cit.9373.1.S1_s_at,6.89e-05,2.3e-07,2.6684962,CX543436
Cit.29566.1.S1_s_at,6.92e-05,2.33e-07,2.5662622,CK936214
Cit.32782.1.S1_at,7.09e-05,2.44e-07,1.967392,CX294549
Cit.2121.1.S1_at,7.09e-05,2.45e-07,4.6331637,CV718593
Cit.8608.1.S1_at,7.09e-05,2.46e-07,2.034875,CX044924
Cit.16727.1.S1_at,7.42e-05,2.6e-07,-2.5185778,CX637561
Cit.17545.1.S1_at,7.42e-05,2.63e-07,1.8558997,CF508396
Cit.12233.1.S1_s_at,7.42e-05,2.65e-07,-2.1659135,CX666928
Cit.37295.1.S1_at,7.43e-05,2.69e-07,-2.4150755,BQ624559
Cit.15408.1.S1_at,7.43e-05,2.71e-07,-2.3662431,CX295885
Cit.10737.1.S1_s_at,7.43e-05,2.72e-07,2.0161072,CX643843
Cit.13558.1.S1_s_at,7.54e-05,2.79e-07,3.9578744,CN184953
Cit.15695.1.S1_at,7.54e-05,2.81e-07,2.2270924,CK935841
Cit.5510.1.S1_at,7.97e-05,3.01e-07,2.369626,CX640562
Cit.14797.1.S1_s_at,7.97e-05,3.03e-07,3.5638816,CX672642
Cit.10010.1.S1_at,7.97e-05,3.05e-07,2.7836272,CN184097
Cit.16492.1.S1_at,8.18e-05,3.18e-07,2.4031867,CN182946
Cit.40400.1.S1_at,8.18e-05,3.19e-07,1.9942806,
Cit.29676.1.S1_s_at,8.18e-05,3.21e-07,3.3485836,CX542931
Cit.26116.1.S1_at,8.31e-05,3.3e-07,-2.3978884,CF836772
Cit.31216.1.S1_at,8.31e-05,3.39e-07,2.4049073,CX308509
Cit.19042.1.S1_at,8.31e-05,3.39e-07,-5.5946562,CX302112
Cit.14683.1.S1_s_at,8.31e-05,3.41e-07,2.7652002,CN181971
Cit.2124.1.S1_s_at,8.31e-05,3.43e-07,2.2479199,CN192123
Cit.1194.1.S1_s_at,8.31e-05,3.44e-07,5.0855225,CF833252
Cit.18453.1.S1_at,8.31e-05,3.51e-07,2.9856036,CX290602
Cit.9325.1.S1_at,8.31e-05,3.53e-07,-3.2631098,CX046212
Cit.9371.1.S1_at,8.31e-05,3.54e-07,3.1289287,CX073940
Cit.12682.1.S1_at,8.31e-05,3.55e-07,2.0957942,DN618117
Cit.2130.1.S1_x_at,8.31e-05,3.57e-07,-2.8367908,CB293424
Cit.26433.1.S1_s_at,8.37e-05,3.71e-07,3.7387057,CN186467
Cit.18116.1.S1_at,8.37e-05,3.72e-07,5.0898216,CF509924
Cit.16903.1.S1_x_at,8.37e-05,3.77e-07,-2.3942522,CK937094
Cit.23843.1.S1_at,8.37e-05,3.79e-07,-3.7257552,CV707277
Cit.23117.1.S1_x_at,8.37e-05,3.79e-07,-2.4891707,CX070014
Cit.19347.1.S1_at,8.37e-05,3.79e-07,2.9917787,CK934819
Cit.18192.1.S1_at,8.37e-05,3.86e-07,3.8638719,CK933074
Cit.28290.1.S1_at,8.37e-05,3.89e-07,-4.772945,DN620207
Cit.20219.1.S1_at,8.37e-05,3.92e-07,5.0722855,CX044199
Cit.5767.1.S1_at,8.37e-05,3.92e-07,2.997558,CV719894
Cit.3283.1.S1_s_at,8.37e-05,3.95e-07,2.3779268,DN619806
Cit.25075.1.S1_s_at,8.37e-05,4.01e-07,-2.2414572,CX305691
Cit.399.1.S1_s_at,8.37e-05,4.01e-07,2.4163743,CF837795
Cit.23585.1.S1_at,8.37e-05,4.02e-07,1.8979324,DN621370
Cit.17155.1.S1_at,8.37e-05,4.03e-07,-4.4435569,CX303072
Cit.10060.1.S1_s_at,8.37e-05,4.07e-07,2.4445958,CX545818
Cit.9029.1.S1_s_at,8.37e-05,4.09e-07,2.0413182,CB290928
Cit.17689.1.S1_at,8.37e-05,4.09e-07,-3.3521318,DN798141
Cit.13366.1.S1_at,8.41e-05,4.14e-07,5.3134425,CX045954
Cit.11433.1.S1_at,8.48e-05,4.2e-07,2.0064815,CF833279
Cit.11595.1.S1_s_at,8.49e-05,4.24e-07,-2.9836568,DN619087
Cit.1441.1.S1_at,8.49e-05,4.27e-07,-2.8404473,CN191360
Cit.8259.1.S1_x_at,8.49e-05,4.29e-07,-2.6562443,CF832452
Cit.2945.1.S1_s_at,8.86e-05,4.52e-07,2.0609635,CV887291
Cit.1891.1.S1_at,8.86e-05,4.54e-07,3.0278743,CX297083
Cit.29766.1.S1_s_at,8.86e-05,4.57e-07,2.3901797,CX640562
Cit.21556.1.S1_x_at,9.12e-05,4.73e-07,-2.7991204,CK937177
Cit.30058.1.S1_at,9.17e-05,4.78e-07,2.9920137,CB322104
Cit.12617.1.S1_at,9.25e-05,4.86e-07,2.2296092,CN190764
Cit.5884.1.S1_at,9.28e-05,4.91e-07,-3.2053941,CV715554
Cit.13915.1.S1_at,9.34e-05,5.05e-07,2.0029664,CB292529
Cit.4283.1.S1_at,9.34e-05,5.05e-07,1.9452573,CX050079
Cit.26307.1.S1_s_at,9.34e-05,5.06e-07,2.2016749,CV884507
Cit.9672.1.S1_at,9.34e-05,5.08e-07,2.2671734,CV717371
Cit.2122.1.S1_at,9.34e-05,5.09e-07,2.4842835,CB292745
Cit.9760.1.S1_s_at,9.34e-05,5.12e-07,4.9723346,CX666292
Cit.16126.1.S1_at,9.35e-05,5.16e-07,-2.0644339,CN191211
Cit.6076.1.S1_s_at,9.5e-05,5.27e-07,-2.1845069,DN620803
Cit.12728.1.S1_at,9.5e-05,5.3e-07,2.3225068,CX071636
Cit.13017.1.S1_at,9.7e-05,5.45e-07,-3.7977632,CV714255
Cit.401.1.S1_x_at,9.94e-05,5.64e-07,2.4590499,CX069526
Cit.3519.1.S1_at,9.94e-05,5.64e-07,-2.4384526,CN190565
Cit.1883.1.S1_at,9.99e-05,5.71e-07,1.8890082,CF833087
Cit.17239.1.S1_at,0.0001025,5.89e-07,2.2186411,CK936433
Cit.6371.1.S1_at,0.0001029,5.97e-07,1.8163119,CV886325
Cit.5183.1.S1_s_at,0.0001029,6.03e-07,-1.8524029,CD574876
Cit.35587.1.S1_s_at,0.0001029,6.08e-07,2.1057667,CK940128
Cit.2113.1.S1_at,0.0001029,6.15e-07,-1.8806627,CK934775
Cit.18188.1.S1_at,0.0001029,6.2e-07,2.2453941,CX295146
Cit.39287.1.S1_s_at,0.0001029,6.22e-07,-2.1785563,DN960189
Cit.14213.1.S1_at,0.0001029,6.24e-07,-1.8481673,CX045153
Cit.40420.1.S1_at,0.0001029,6.27e-07,2.8775379,CK939963
Cit.30363.1.S1_at,0.0001029,6.29e-07,1.9739773,CF507442
Cit.9043.1.S1_s_at,0.0001029,6.31e-07,-2.045046,CB291835
Cit.31057.1.S1_s_at,0.0001029,6.33e-07,2.2996206,CF834294
Cit.881.1.S1_s_at,0.0001029,6.34e-07,-1.8095887,CN189918
Cit.5526.1.S1_s_at,0.0001029,6.36e-07,-1.9151674,CX668221
Cit.29964.1.S1_at,0.0001073,6.68e-07,1.9741911,CF508234
Cit.13044.1.S1_at,0.0001073,6.7e-07,1.6485634,CN186563
Cit.4353.1.S1_s_at,0.0001074,6.77e-07,-5.7766133,CN183059
Cit.3505.1.S1_at,0.0001074,6.77e-07,-2.1832749,CN182989
Cit.11459.1.S1_s_at,0.0001075,6.82e-07,-2.16365,CX666659
Cit.6860.1.S1_at,0.0001076,6.86e-07,-2.4890403,CK935587
Cit.308.1.S1_at,0.0001076,6.9e-07,2.3010019,CN182220
Cit.40508.1.S1_s_at,0.0001076,6.93e-07,2.0217656,CK936236
Cit.8725.1.S1_at,0.0001112,7.2e-07,-1.9607257,CX043719
Cit.22186.1.S1_s_at,0.0001114,7.28e-07,1.8321092,CX666020
Cit.25733.1.S1_at,0.0001114,7.29e-07,1.7513853,CF831123
Cit.315.1.S1_x_at,0.0001114,7.41e-07,2.3240287,CN183623
Cit.6703.1.S1_at,0.0001114,7.42e-07,2.7655205,CX049215
Cit.20223.1.S1_x_at,0.0001114,7.43e-07,-3.1431198,CX045519
Cit.31118.1.S1_at,0.0001114,7.43e-07,1.9955452,CX287836
Cit.5383.1.S1_at,0.0001116,7.52e-07,1.5523651,CV706250
Cit.28846.1.S1_s_at,0.0001116,7.55e-07,1.6033976,CX543499
Cit.26654.1.S1_x_at,0.0001116,7.55e-07,2.4670703,CX043530
Cit.10873.1.S1_s_at,0.0001116,7.65e-07,2.8942724,CV885113
Cit.21107.1.S1_s_at,0.0001116,7.69e-07,-1.6824516,DN798887
Cit.14954.1.S1_at,0.0001116,7.69e-07,2.2993279,CF509231
Cit.104.1.S1_at,0.0001116,7.72e-07,2.6860066,DR403255
Cit.38788.1.S1_s_at,0.0001116,7.74e-07,-2.3604159,CK702214
Cit.23967.1.S1_s_at,0.0001122,7.82e-07,1.8294812,CV710106
Cit.29313.1.S1_s_at,0.0001139,7.98e-07,-2.7450405,CB610739
Cit.10585.1.S1_s_at,0.000115,8.09e-07,1.8035325,CX673652
Cit.829.1.S1_s_at,0.0001187,8.39e-07,-1.9705473,CX071860
Cit.2990.1.S1_x_at,0.0001188,8.46e-07,2.916623,CX640767
Cit.26449.1.S1_s_at,0.0001188,8.51e-07,-1.5470091,CN186784
Cit.13245.1.S1_at,0.0001188,8.54e-07,2.0082931,CX044393
Cit.18299.1.S1_at,0.0001188,8.55e-07,-2.1036854,CX298106
Cit.6808.1.S1_at,0.0001192,8.63e-07,1.7388773,DN957863
Cit.11083.1.S1_s_at,0.0001192,8.66e-07,1.9468894,CV714374
Cit.16885.1.S1_at,0.0001197,8.75e-07,1.722356,CK935677
Cit.35633.1.S1_at,0.0001197,8.79e-07,1.9590984,CK939972
Cit.6446.1.S1_at,0.0001197,8.82e-07,-2.1373919,CB292276
Cit.26590.1.S1_at,0.0001199,8.96e-07,1.5991001,CN190501
Cit.24282.1.S1_at,0.0001199,8.97e-07,-3.9060276,CD574549
Cit.16636.1.S1_at,0.0001199,9.01e-07,-3.8456946,CX051481
Cit.162.1.S1_x_at,0.0001199,9.01e-07,-2.6592338,CK937160
Cit.31379.1.S1_at,0.0001199,9.03e-07,-1.8812244,CO912523
Cit.27449.1.S1_at,0.0001215,9.19e-07,1.6860848,CX073173
Cit.22731.1.S1_s_at,0.0001219,9.26e-07,-1.6650356,CV885585
Cit.30908.1.S1_s_at,0.000122,9.31e-07,3.1772716,CF418599
Cit.31351.1.S1_at,0.0001224,9.42e-07,1.8998233,CF506094
Cit.9325.1.S1_s_at,0.0001224,9.42e-07,-1.7009641,CX046212
Cit.22527.1.S1_s_at,0.000124,9.58e-07,1.8190779,CF832471
Cit.1077.1.S1_s_at,0.0001242,9.64e-07,2.1891622,CF829440
Cit.6725.1.S1_x_at,0.000125,9.74e-07,2.6509825,CX641929
Cit.29661.1.S1_at,0.0001252,9.81e-07,2.2940984,CX290062
Cit.21094.1.S1_s_at,0.0001252,9.84e-07,-3.4534639,DN798826
Cit.3243.1.S1_s_at,0.0001261,9.95e-07,1.6670075,CV710546
Cit.17104.1.S1_s_at,0.0001273,1.01e-06,1.6086569,CV709277
Cit.7462.1.S1_at,0.0001276,1.02e-06,2.3089478,CF836851
Cit.14560.1.S1_at,0.0001277,1.03e-06,-2.1097485,CF837668
Cit.11243.1.S1_at,0.0001277,1.03e-06,2.6255568,CF832799
Cit.31133.1.S1_at,0.0001277,1.03e-06,-3.3392148,CK701841
Cit.36077.1.S1_s_at,0.0001277,1.04e-06,-1.6101925,CF835838
Cit.2018.1.S1_s_at,0.0001277,1.04e-06,-3.3481524,CV717366
Cit.10547.1.S1_s_at,0.0001277,1.04e-06,1.7381554,CN186513
